Subject geographic 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Lima, Peru","Piura, Peru","Puno, Peru","Tacna, Peru","Moquegua, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","Ayacucho, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Junín, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru",Peru,,,,,,,
"Lima, Peru","Apurimac, Peru","Ica, Peru","Ucayali, Peru","Junín, Peru",Peru,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Cusco, Peru","Apurimac, Peru","Huancavelica, Peru","Ica, Peru","San Martín, Peru","Loreto, Peru","Junín, Peru","Pasco, Peru","Huánuco, Peru","Ancash, Peru","La Libertad, Peru","Cajamarca, Peru","Tumbes, Peru","Lambayeque, Peru",Peru,,,,,,,
"Lima, Peru","Piura, Peru","Puno, Peru","Cusco, Peru","Junín, Peru","Pasco, Peru","Ancash, Peru","La Libertad, Peru","Lambayeque, Peru",Peru,,,,,,,,,,,,,,,
"Cusco, Peru","Apurimac, Peru","San Martín, Peru","Loreto, Peru","Ucayali, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,
"Tacna, Peru","Apurimac, Peru","Loreto, Peru",Amazonas,Peru,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Cusco, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Ica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Cusco, Peru","Cajamarca, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru","Tacna, Peru","Loreto, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru","Ancash, Peru",Peru,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Apurimac, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Piura, Peru","Puno, Peru","Cajamarca, Peru","Tumbes, Peru",Peru,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Piura, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Puno, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru","Huancavelica, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
Amazonas,Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
"Lima, Peru",Peru,,,,,,,,,,,,,,,,,,,,,,,
